Timber Tract Operations,0,1
Forest Nurseries and Gathering Forest Products,0,1
Logging,35,1
Finfish Fishing,0,1
Hunting and Trapping,4,1
Cotton Ginning,0,1
"Soil Preparation, Planting, and Cultivating",5,1
"Crop Harvesting, Primarily by Machine",0,1
Postharvest Crop Activities (except Cotton Ginning),0,1
Farm Labor Contractors and Crew Leaders,2,1
Farm Management Services,8,1
Support Activities for Animal Production,83,1
Forestry Support Activities,3,1
Crude Petroleum and Natural Gas Extraction,1327,2
Natural Gas Liquid Extraction,363,2
Bituminous Coal and Lignite Surface Mining,318,2
Bituminous Coal Underground Mining,3,2
Anthracite Mining,2,2
Gold Ore Mining,0,2
Lead Ore and Zinc Ore Mining,3,2
All Other Metal Ore Mining,0,2
Dimension Stone Mining and Quarrying,391,2
Crushed and Broken Limestone Mining and Quarrying,542,2
Crushed and Broken Granite Mining and Quarrying,0,2
Other Crushed and Broken Stone Mining and Quarrying,71,2
Construction Sand and Gravel Mining,153,2
Industrial Sand Mining,0,2
Kaolin and Ball Clay Mining,0,2
"Clay, Ceramic, and Refractory Minerals Mining",0,2
"Potash, Soda, and Borate Mineral Mining",3,2
Other Chemical and Fertilizer Mineral Mining,0,2
All Other Nonmetallic Mineral Mining,5,2
Drilling Oil and Gas Wells,482,2
Support Activities for Oil and Gas Operations,2391,2
Support Activities for Coal Mining,0,2
Support Activities for Metal Mining,0,2
Nonmetallic Minerals Support Activity (exc Fuels),13,2
Hydroelectric Power Generation,7,2
Fossil Fuel Electric Power Generation,150,2
Solar Electric Power Generation ,77,2
Wind Electric Power Generation ,38,2
Geothermal Electric Power Generation ,3,2
Other Electric Power Generation ,5,2
Electric Bulk Power Transmission and Control,856,2
Water Supply and Irrigation Systems,423,2
Steam and Air-Conditioning Supply,0,2
Industrial Building Construction,268,2
Oil and Gas Pipeline and Related Structures Construction,983,2
Power and Communication Line and Related Structures Construction,1405,2
Other Heavy and Civil Engineering Construction,11090,2
Dog and Cat Food Manufacturing,15,3
Other Animal Food Manufacturing,87,3
Flour Milling,7,3
Rice Milling,0,3
Malt Manufacturing,2,3
Wet Corn Milling,0,3
Soybean and Other Oilseed Processing ,0,3
Fats and Oils Refining and Blending,0,3
Breakfast Cereal Manufacturing,0,3
Nonchocolate Confectionery Manufacturing,146,3
Chocolate and Confectionery Manufacturing from Cacao Beans ,5,3
Confectionery Manufacturing from Purchased Chocolate ,7,3
"Frozen Fruit, Juice, and Vegetable Manufacturing",2,3
Frozen Specialty Food Manufacturing,382,3
Fruit and Vegetable Canning,224,3
Specialty Canning,3,3
Dried and Dehydrated Food Manufacturing,0,3
Fluid Milk Manufacturing,783,3
Cheese Manufacturing,2,3
"Dry, Condensed, and Evaporated Dairy Product Manufacturing",65,3
Ice Cream and Frozen Dessert Manufacturing,120,3
Animal (except Poultry) Slaughtering,35,3
Meat Processed from Carcasses,1430,3
Rendering and Meat Byproduct Processing,136,3
Poultry Processing,23,3
Seafood Product Preparation and Packaging,10,3
"Frozen Cakes, Pies, and Other Pastries Manufacturing",626,3
Cookie and Cracker Manufacturing,542,3
"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",212,3
Tortilla Manufacturing,214,3
Roasted Nuts and Peanut Butter Manufacturing,74,3
Other Snack Food Manufacturing,750,3
Coffee and Tea Manufacturing,49,3
Flavoring Syrup and Concentrate Manufacturing,10,3
"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",59,3
Spice and Extract Manufacturing,454,3
Perishable Prepared Food Manufacturing,725,3
All Other Miscellaneous Food Manufacturing,27,3
Soft Drink Manufacturing,846,3
Bottled Water Manufacturing,21,3
Ice Manufacturing,122,3
Breweries,258,3
Wineries,40,3
Distilleries,198,3
Tobacco Manufacturing ,35,3
"Fiber, Yarn, and Thread Mills ",0,3
Broadwoven Fabric Mills,378,3
Narrow Fabric Mills and Schiffli Machine Embroidery,0,3
Knit Fabric Mills,0,3
Textile and Fabric Finishing Mills ,10,3
Fabric Coating Mills,3,3
Carpet and Rug Mills,28,3
Curtain and Linen Mills,81,3
Textile Bag and Canvas Mills ,28,3
"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ",0,3
All Other Miscellaneous Textile Product Mills,266,3
Hosiery and Sock Mills,3,3
Other Apparel Knitting Mills ,3,3
Cut and Sew Apparel Contractors ,36,3
Men�s and Boys� Cut and Sew Apparel Manufacturing ,151,3
"Women�s, Girls�, and Infants� Cut and Sew Apparel Manufacturing ",23,3
Other Cut and Sew Apparel Manufacturing ,13,3
Apparel Accessories and Other Apparel Manufacturing ,43,3
Leather and Hide Tanning and Finishing,19,3
Footwear Manufacturing ,1257,3
Women's Handbag and Purse Manufacturing,7,3
All Other Leather Good and Allied Product Manufacturing ,96,3
Sawmills,29,3
Wood Preservation,12,3
Hardwood Veneer and Plywood Manufacturing,0,3
Engineered Wood Member (except Truss) Manufacturing,3,3
Truss Manufacturing,371,3
Reconstituted Wood Product Manufacturing,0,3
Wood Window and Door Manufacturing,722,3
"Cut Stock, Resawing Lumber, and Planing",68,3
Other Millwork (including Flooring),134,3
Wood Container and Pallet Manufacturing,252,3
Manufactured Home (Mobile Home) Manufacturing,181,3
Prefabricated Wood Building Manufacturing,50,3
All Other Miscellaneous Wood Product Manufacturing,79,3
Paper (except Newsprint) Mills,0,3
Paperboard Mills,0,3
Corrugated and Solid Fiber Box Manufacturing,503,3
Folding Paperboard Box Manufacturing,3,3
Other Paperboard Container Manufacturing ,7,3
Paper Bag and Coated and Treated Paper Manufacturing,75,3
Stationery Product Manufacturing,51,3
Sanitary Paper Product Manufacturing,7,3
All Other Converted Paper Product Manufacturing,47,3
Commercial Gravure Printing,2272,3
Commercial Screen Printing,512,3
Books Printing,57,3
Support Activities for Printing,93,3
Petroleum Refineries,169,3
Asphalt Paving Mixture and Block Manufacturing,57,3
Asphalt Shingle and Coating Materials Manufacturing,0,3
Petroleum Lubricating Oil and Grease Manufacturing,0,3
All Other Petroleum and Coal Products Manufacturing,0,3
Petrochemical Manufacturing,0,3
Industrial Gas Manufacturing,67,3
Other Basic Inorganic Chemical Manufacturing ,154,3
All Other Basic Organic Chemical Manufacturing,190,3
Plastics Material and Resin Manufacturing,98,3
Synthetic Rubber Manufacturing,0,3
Artificial and Synthetic Fibers and Filaments Manufacturing,0,3
Nitrogenous Fertilizer Manufacturing,44,3
Phosphatic Fertilizer Manufacturing,0,3
Fertilizer (Mixing Only) Manufacturing,0,3
Pesticide and Other Agricultural Chemical Manufacturing,0,3
Medicinal and Botanical Manufacturing,1488,3
Pharmaceutical Preparation Manufacturing,974,3
In-Vitro Diagnostic Substance Manufacturing,342,3
Biological Product (except Diagnostic) Manufacturing,55,3
Paint and Coating Manufacturing,37,3
Adhesive Manufacturing,2,3
Soap and Other Detergent Manufacturing,57,3
Polish and Other Sanitation Good Manufacturing,420,3
Toilet Preparation Manufacturing,38,3
Printing Ink Manufacturing,14,3
Custom Compounding of Purchased Resins,3,3
"Photographic Film, Paper, Plate, and Chemical Manufacturing",0,3
All Other Miscellaneous Chemical Product and Preparation Manufacturing,47,3
Plastics Bag Manufacturing,0,3
Plastics Packaging Film and Sheet (including Laminated) Manufacturing,13,3
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,179,3
Unlaminated Plastics Profile Shape Manufacturing,0,3
Plastics Pipe and Pipe Fitting Manufacturing,340,3
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",2,3
Polystyrene Foam Product Manufacturing,79,3
Urethane and Other Foam Product (except Polystyrene) Manufacturing,216,3
Plastics Bottle Manufacturing,0,3
Plastics Plumbing Fixture Manufacturing,114,3
All Other Plastics Product Manufacturing,868,3
Tire Manufacturing (except Retreading),2,3
Tire Retreading,91,3
Rubber and Plastics Hoses and Belting Manufacturing,2,3
Rubber Product Manufacturing for Mechanical Use,0,3
All Other Rubber Product Manufacturing,41,3
"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",11,3
Clay Building Material and Refractories Manufacturing ,288,3
Flat Glass Manufacturing,0,3
Other Pressed and Blown Glass and Glassware Manufacturing,8,3
Glass Product Manufacturing Made of Purchased Glass,110,3
Cement Manufacturing,358,3
Concrete Block and Brick Manufacturing,126,3
Concrete Pipe Manufacturing,96,3
Lime Manufacturing,175,3
Gypsum Product Manufacturing,2,3
Abrasive Product Manufacturing,3,3
Cut Stone and Stone Product Manufacturing,607,3
Ground or Treated Mineral and Earth Manufacturing,0,3
Mineral Wool Manufacturing,0,3
All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,47,3
Iron and Steel Mills and Ferroalloy Manufacturing ,79,3
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,7,3
Rolled Steel Shape Manufacturing,0,3
Steel Wire Drawing,33,3
Alumina Refining and Primary Aluminum Production ,0,3
Secondary Smelting and Alloying of Aluminum,0,3
"Aluminum Sheet, Plate, and Foil Manufacturing",0,3
"Other Aluminum Rolling, Drawing, and Extruding ",0,3
Nonferrous Metal (except Aluminum) Smelting and Refining ,0,3
"Copper Rolling, Drawing, Extruding, and Alloying",7,3
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",3,3
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",41,3
Iron Foundries,0,3
Steel Investment Foundries,75,3
Steel Foundries (except Investment),0,3
Aluminum Foundries (except Die-Casting),0,3
Other Nonferrous Metal Foundries (except Die-Casting) ,48,3
Iron and Steel Forging,45,3
Nonferrous Forging,0,3
Custom Roll Forming,201,3
"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",2,3
"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",0,3
Saw Blade and Handtool Manufacturing ,21,3
Prefabricated Metal Building and Component Manufacturing,64,3
Fabricated Structural Metal Manufacturing,562,3
Plate Work Manufacturing,252,3
Metal Window and Door Manufacturing,185,3
Ornamental and Architectural Metal Work Manufacturing,84,3
Power Boiler and Heat Exchanger Manufacturing,7,3
Metal Tank (Heavy Gauge) Manufacturing,93,3
Metal Can Manufacturing,4,3
Other Metal Container Manufacturing,33,3
Hardware Manufacturing,10,3
Spring Manufacturing ,7,3
Other Fabricated Wire Product Manufacturing,151,3
Precision Turned Product Manufacturing,693,3
"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",3,3
Metal Heat Treating,217,3
"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",164,3
"Electroplating, Plating, Polishing, Anodizing, and Coloring",269,3
Industrial Valve Manufacturing,19,3
Fluid Power Valve and Hose Fitting Manufacturing,47,3
Other Metal Valve and Pipe Fitting Manufacturing,321,3
Ball and Roller Bearing Manufacturing,0,3
Small Arms Manufacturing,303,3
Fabricated Pipe and Pipe Fitting Manufacturing,110,3
